_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5201,0,3,0,3,3,6,20,11,8,46,0,0,0,0,0,0,0,0,0,0,11,13,13,23,19,18,6,3,0,106,62,107,215,233,332,322,183,56,18,1515
5202,0,0,0,5,3,7,11,15,4,40,0,0,0,0,0,0,0,0,0,0,0,7,7,0,12,6,6,3,3,45,16,39,104,101,145,136,81,32,18,672
5203,0,0,3,0,6,3,20,15,19,63,0,0,0,0,0,0,3,0,0,7,5,4,6,3,13,30,26,6,4,107,26,45,83,109,170,241,202,112,61,1047
5204,0,0,5,0,9,8,42,24,16,101,0,0,0,0,0,0,0,0,0,3,5,6,16,17,25,59,61,29,6,218,39,76,161,229,332,639,652,249,61,2428
5210,0,0,0,3,3,10,20,5,7,43,0,0,3,0,0,0,0,0,0,6,9,5,6,33,17,23,15,3,3,112,42,79,157,238,252,267,187,43,13,1281
5211,4,3,13,21,19,57,235,222,161,735,0,0,0,3,5,3,7,4,4,28,25,32,48,90,108,155,208,220,179,1068,245,482,1025,1303,1597,2278,3254,1838,795,12825
5212,0,0,0,0,0,6,21,26,15,78,0,0,0,0,0,0,0,0,0,3,3,4,10,19,10,28,33,45,53,212,28,57,131,171,200,319,439,317,130,1805
5213,0,0,0,0,0,0,8,12,3,21,0,0,0,0,0,0,0,0,0,0,3,4,4,14,5,8,8,6,3,54,20,46,91,150,165,204,166,76,20,925
5214,0,4,13,4,9,33,112,134,87,399,0,0,0,0,3,0,3,0,3,14,18,20,37,39,72,98,170,146,85,674,129,260,518,667,940,1396,1849,1052,390,7209
5220,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,7,29,14,24,17,19,4,9,120
