_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
5084,55,47,106,261,237,494,129,118,251,41,34,72,425,389,813,181,125,302,86,80,163,24,33,57,297,235,525,36,27,67,48,68,114,20,18,37,57,55,112,0,3,3,169,165,334,155,179,331,85,84,167,9,15,29,34,34,68,0,3,3,283,320,603,29,41,69,38,40,77,3,0,3,64,84,144,498,403,901,1793,1642,3433
5085,128,144,274,410,424,833,245,255,495,159,160,316,813,836,1649,246,193,442,114,175,287,109,112,220,470,480,948,43,50,93,51,94,146,21,20,48,92,140,228,0,3,4,214,298,513,303,241,549,121,143,271,35,18,57,95,136,232,0,3,3,557,542,1104,38,30,69,49,62,116,0,0,0,92,92,186,1200,733,1932,3474,3123,6601
5086,106,116,220,391,370,761,192,183,378,95,104,196,679,660,1341,209,195,398,107,128,235,97,97,194,414,414,832,36,39,76,41,77,114,30,13,46,57,86,146,4,0,4,172,213,387,276,254,527,108,129,229,20,22,42,87,111,200,3,0,5,496,521,1013,31,31,58,34,53,88,0,0,0,58,86,145,433,439,865,2355,2442,4798
5087,88,72,156,262,243,502,123,99,223,32,28,59,417,375,786,118,129,245,55,67,125,47,35,83,224,231,456,28,20,47,33,36,74,14,22,34,45,68,118,0,0,0,123,151,273,198,224,425,123,125,241,7,10,22,50,83,131,0,3,4,378,439,822,19,32,53,24,29,59,0,0,0,42,69,109,293,332,620,1561,1664,3224
5088,25,27,47,89,67,156,16,16,34,19,22,36,121,105,225,47,40,87,12,25,29,16,16,32,74,78,151,13,10,20,3,17,22,3,3,6,9,19,24,0,0,0,27,41,71,30,26,50,11,28,35,0,3,10,14,22,36,0,0,0,60,75,135,0,8,5,11,14,24,0,0,0,11,23,33,98,98,191,415,450,861
5089,38,29,60,199,164,363,72,75,141,62,62,118,334,293,631,100,89,193,78,69,141,55,69,124,229,223,457,4,9,10,3,12,13,9,13,23,23,28,49,0,0,0,43,57,96,74,95,168,17,24,41,12,17,24,19,44,64,0,0,0,126,185,306,5,3,10,9,22,30,0,0,0,17,25,33,117,104,222,893,918,1810
5090,39,50,89,203,192,388,39,49,85,41,36,76,283,269,555,104,105,208,35,40,76,45,44,86,184,193,378,12,12,28,16,16,27,16,7,20,22,42,69,0,0,0,64,82,149,61,83,145,20,39,57,7,9,12,22,42,63,0,0,0,108,171,279,8,11,19,10,15,28,0,0,3,19,24,44,151,216,366,854,1004,1859
5091,45,37,79,198,179,379,60,73,127,46,49,98,301,309,602,137,123,257,40,46,89,52,62,113,224,231,452,14,6,24,3,10,11,19,13,31,36,38,70,0,0,0,74,63,138,67,80,151,20,28,46,11,21,26,24,51,76,0,0,0,116,178,298,6,6,17,9,24,39,0,0,0,16,34,51,182,168,350,968,1013,1984
5092,128,110,240,547,495,1044,101,86,183,97,121,219,745,704,1451,310,269,570,66,69,138,71,93,162,442,432,877,45,34,76,28,42,70,41,26,68,62,74,137,0,0,0,176,177,352,205,236,436,99,111,209,17,21,37,60,126,186,0,3,0,382,489,877,29,31,59,27,48,76,0,0,0,53,85,132,351,383,734,2284,2376,4662
5093,62,51,117,260,207,468,66,48,109,69,94,165,395,347,739,160,152,308,53,49,99,63,59,118,277,251,531,25,24,50,18,26,47,12,13,29,30,47,78,0,3,3,95,108,200,87,93,178,37,40,82,18,11,31,27,60,95,0,3,3,171,214,383,11,10,28,15,34,44,0,0,0,27,45,72,195,198,388,1217,1211,2430
