_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5076,..,619,619,1078,50,1125,602,12,607,686,3,691,241,0,246,57,0,57,2663,682,3344
5081,..,1119,1119,1144,106,1248,444,42,485,503,11,516,185,7,194,66,3,72,2340,1295,3635
5082,..,1504,1504,1494,212,1709,810,99,909,946,41,986,317,16,332,103,8,112,3663,1894,5557
5083,..,983,983,782,92,871,464,32,496,448,13,466,141,7,144,48,3,53,1882,1133,3020
5084,..,1064,1064,798,133,937,515,52,567,475,39,514,198,30,229,171,32,206,2155,1356,3513
5085,..,1940,1940,1982,254,2235,1185,56,1244,1050,34,1086,382,12,389,218,12,237,4825,2312,7129
5086,..,1776,1776,1763,185,1947,977,65,1044,938,18,951,297,14,306,146,8,155,4129,2056,6184
5087,..,1385,1385,1393,146,1540,719,66,785,581,23,604,214,3,216,66,5,69,2969,1631,4601
5088,..,425,425,375,55,430,221,3,225,170,0,170,46,0,46,42,0,42,847,482,1328
5089,..,377,377,856,23,872,410,5,410,435,5,443,164,0,164,60,0,60,1926,411,2335
5090,..,1019,1019,1052,58,1114,408,4,408,374,4,374,155,0,158,42,0,42,2031,1093,3120
5091,..,591,591,1020,38,1064,472,5,474,456,3,454,160,0,160,64,0,64,2175,639,2809
5092,..,1562,1562,2240,151,2390,1095,15,1107,1002,17,1022,357,7,364,161,6,165,4857,1755,6611
5093,..,837,837,1168,80,1252,555,13,562,492,3,495,200,0,200,83,0,83,2501,929,3432
5094,..,81,81,94,13,115,47,6,50,45,0,47,21,0,21,18,0,18,223,101,322
5095,..,1693,1693,2140,280,2422,1290,105,1398,1189,27,1215,435,24,461,240,9,251,5295,2133,7429
5096,..,1198,1198,1459,111,1569,827,18,842,796,8,802,310,0,315,169,0,170,3565,1338,4897
5097,..,1263,1263,1837,83,1919,836,11,849,797,0,800,280,0,281,81,0,82,3827,1358,5187
5098,..,1152,1152,1555,112,1669,691,12,702,690,9,700,233,3,237,147,0,146,3310,1291,4599
5106,..,11,11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,15
