POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5606,0,5,14,15,27,89,207,213,131,707,0,0,0,0,3,7,0,5,4,21,57,65,129,126,146,173,143,145,66,1057,310,783,1783,1617,1802,1797,1345,810,371,10627
POA5607,3,0,3,3,10,26,55,48,14,169,0,0,0,0,0,0,5,0,0,5,37,25,94,101,98,73,62,27,0,520,107,156,507,650,786,790,547,186,36,3766
POA5608,5,3,29,28,45,106,218,176,64,681,0,0,3,0,6,4,7,15,0,49,78,94,180,142,225,187,189,153,45,1290,348,870,1791,1488,1925,1572,1230,770,216,10207
POA5609,0,0,0,0,3,8,11,8,0,34,0,0,0,0,0,0,0,0,0,0,3,3,14,14,8,3,8,19,0,73,41,126,329,254,214,142,107,84,12,1318
POA5630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,6,3,16,17,27,17,11,0,0,96
POA5631,0,0,0,0,3,4,10,18,14,49,0,0,0,0,0,0,0,0,0,4,0,3,11,9,10,15,7,8,21,78,19,52,110,116,142,123,88,70,43,772
POA5632,0,0,0,0,0,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,8,3,0,0,14,7,14,26,25,57,25,13,5,0,168
POA5633,0,0,0,0,0,10,4,4,3,19,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,7,3,3,0,25,9,14,42,25,58,68,22,11,6,254
POA5640,0,0,0,0,3,3,21,26,29,88,0,0,0,0,0,0,4,0,0,6,3,0,15,14,20,20,13,19,7,114,17,50,143,129,169,179,146,88,53,976
POA5641,0,0,0,0,0,9,22,39,13,85,0,0,0,0,0,0,0,0,0,0,0,7,9,7,15,13,3,9,3,72,11,46,138,118,146,142,94,81,32,804
POA5642,0,0,0,0,0,4,7,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,3,11,4,3,4,0,0,32,11,10,20,36,51,59,29,7,3,228
POA5650,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,3,19,5,7,25,24,21,34,19,3,3,134
POA5651,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,3,4,17,17,11,3,4,0,57
POA5652,0,0,0,0,0,3,10,17,8,38,0,0,0,0,0,0,0,0,0,0,3,4,4,8,10,16,13,3,5,66,23,45,87,97,99,108,84,39,35,618
POA5653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,7,6,11,12,11,0,3,59
POA5654,0,0,0,0,3,0,7,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,9,3,0,22,3,0,20,33,41,32,43,10,3,186
POA5655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,14,11,6,16,8,0,0,71
POA5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,7,9,4,3,0,0,36
POA5661,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,8,21,21,6,23,14,6,0,98
POA5670,0,0,0,0,4,3,7,7,4,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,11,8,6,37,3,13,50,51,67,98,78,26,11,403
POA5671,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,0,19,0,9,17,16,40,32,17,9,0,140
POA5680,0,0,0,3,7,18,42,20,27,118,0,0,0,0,3,0,3,0,0,7,8,12,40,35,68,94,45,27,15,340,40,88,206,282,431,504,338,120,59,2061
POA5690,5,8,18,10,30,40,74,39,18,248,0,0,0,4,0,3,0,0,0,6,37,36,101,107,114,108,99,31,36,663,119,224,514,500,580,607,506,156,70,3273
POA5700,13,5,20,22,35,98,195,183,83,640,0,0,4,4,9,9,12,16,4,56,56,75,203,152,210,236,215,139,48,1326,291,700,1459,1212,1581,1564,1291,610,219,8926
POA5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,17
POA5710,0,3,0,4,5,15,29,11,5,79,0,0,0,0,0,0,3,0,0,3,6,105,217,170,84,44,26,6,3,664,53,212,499,401,343,315,152,59,19,2054
POA5713,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,4,3,0,0,27
POA5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,15,0,4,9,9,3,9,5,0,0,42
