POA_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA5091,42,1560,682,310,1724,0.8,1436,2.6
POA5092,39,1452,612,300,1510,0.8,1282,2.5
POA5093,40,1430,536,285,1359,0.8,1171,2.5
POA5094,38,1285,464,255,1114,0.9,1017,2.7
POA5095,33,1625,652,325,1614,0.8,1410,2.6
POA5096,37,1300,574,278,1419,0.8,1212,2.6
POA5097,41,1500,637,300,1630,0.8,1328,2.5
POA5098,40,1408,515,280,1345,0.8,1117,2.5
POA5106,31,0,144,0,0,0.9,478,1.2
POA5107,35,1387,488,260,1269,0.9,1140,2.8
POA5108,34,1300,482,250,1191,0.8,1027,2.6
POA5109,39,1343,539,270,1336,0.8,1119,2.5
POA5110,34,1464,536,300,1305,0.9,1192,2.8
POA5111,24,0,1173,0,0,0,0,0
POA5112,38,1170,451,200,1066,0.8,833,2.4
POA5113,33,1000,432,220,904,0.8,764,2.4
POA5114,31,1385,592,270,1406,0.8,1249,2.8
POA5115,27,1400,628,275,1329,0.8,1205,2.7
POA5116,37,1430,570,270,1342,0.8,1080,2.4
POA5117,36,1790,700,255,1954,0.8,1796,3.2
POA5118,42,1500,606,260,1623,0.8,1267,2.5
POA5120,39,1779,531,250,1564,0.8,1220,2.8
POA5121,43,1486,514,298,1258,0.8,1084,2.5
POA5125,40,1625,718,300,1894,0.8,1566,2.6
POA5126,38,1517,706,300,1714,0.8,1489,2.6
POA5127,41,1521,698,290,1824,0.8,1487,2.6
POA5131,46,1733,697,310,1853,0.8,1664,2.9
POA5132,44,1950,749,150,2066,0.8,1952,2.8
POA5133,46,1900,727,290,2125,0.8,1875,3
POA5134,46,2000,656,277,1612,0.9,1406,2.7
POA5136,44,1800,673,275,1812,0.9,1607,2.8
POA5137,44,1950,757,290,2031,0.8,1807,2.9
POA5138,45,1682,752,280,2111,0.9,1861,2.6
POA5139,46,1733,746,225,2100,0.8,1562,2.4
POA5140,39,2019,984,450,2466,0.7,2208,2.8
POA5141,42,1916,713,330,2131,0.8,1862,2.8
POA5142,43,1833,709,330,2059,0.8,1653,2.6
POA5144,50,2000,766,240,2067,0.8,1593,2.5
POA5150,54,2246,725,0,1875,0.8,2250,2.7
POA5151,45,2167,863,305,2403,0.8,2094,2.8
POA5152,44,2000,841,390,2398,0.8,1963,2.6
POA5153,44,1733,719,300,1953,0.8,1682,2.7
POA5154,45,2000,854,400,2364,0.8,2092,2.8
POA5155,40,1658,804,360,2089,0.8,1722,2.6
POA5156,42,1733,788,320,2101,0.8,1812,2.7
POA5157,47,1625,712,200,1952,0.8,1727,2.7
POA5158,38,1582,714,340,1815,0.8,1591,2.7
POA5159,41,1560,684,330,1798,0.8,1533,2.7
POA5160,45,0,316,0,649,1,450,2
POA5161,39,1365,596,300,1395,0.8,1161,2.4
POA5162,39,1337,569,280,1368,0.8,1111,2.4
POA5163,39,1300,501,255,1214,0.8,1013,2.5
POA5164,39,1200,443,200,978,0.7,770,2.2
POA5165,40,1357,531,290,1157,0.8,956,2.2
POA5166,43,1179,499,275,1076,0.7,890,2.2
POA5167,42,1517,588,300,1459,0.8,1173,2.4
POA5168,37,1374,537,250,1312,0.7,1047,2.4
POA5169,35,1596,605,310,1453,0.8,1229,2.6
POA5170,43,1394,611,300,1439,0.7,1141,2.4
POA5171,46,1625,626,290,1654,0.8,1309,2.5
POA5172,44,1625,667,280,1714,0.8,1433,2.6
POA5173,36,1431,571,295,1315,0.8,1088,2.5
POA5174,39,1404,570,280,1331,0.8,1115,2.5
